,Компания,Модель,Комплектация,Тип кузова,Трансмиссия,Штат продажи,Состояние,Пробег,Цвет,Интерьер,Продавец,Оценочная стоимость,Цена продажи,День продажи,Месяц продажи,Год продажи
8,Audi,A4,2.0T Premium Plus quattro,Sedan,automatic,ca,42.0,9557.0,white,black,audi mission viejo,32100.0,32250.0,Thu,Dec,2014.0
10,Audi,A6,3.0T Prestige quattro,Sedan,automatic,ca,48.0,14414.0,black,black,desert auto trade,47300.0,49750.0,Tue,Dec,2014.0
16,Audi,Q5,2.0T Premium Plus quattro,SUV,automatic,ca,49.0,7983.0,white,black,audi north scottsdale,37100.0,40000.0,Thu,Dec,2014.0
22,Audi,A3,1.8 TFSI Premium,Sedan,automatic,ca,49.0,5826.0,gray,black,audi north scottsdale,24000.0,23750.0,Thu,Dec,2014.0
30,Audi,SQ5,3.0T Premium Plus quattro,SUV,automatic,ca,42.0,9606.0,white,black,audi of downtown l a,48600.0,47500.0,Thu,Jan,2015.0
32,Audi,S5,Premium Plus quattro,Coupe,automatic,ca,38.0,5875.0,black,black,fratelli investment group,46500.0,44500.0,Thu,Dec,2014.0
58,Audi,A3,1.8 TFSI Premium,Sedan,automatic,ca,2.0,31.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,24200.0,17300.0,Tue,Dec,2014.0
64,Audi,A3,1.8 TFSI Premium,Sedan,automatic,ca,5.0,1906.0,gray,black,audi north scottsdale,24100.0,25750.0,Thu,Dec,2014.0
67,Audi,A8,L 3.0T quattro,Sedan,automatic,ca,43.0,32918.0,black,black,audi west covina,62000.0,50000.0,Tue,Dec,2014.0
79,Audi,TTS,quattro,Coupe,automatic,ca,28.0,3996.0,silver,black,fratelli investment group,41400.0,34250.0,Thu,Dec,2014.0
718,Audi,S4,Premium Plus quattro,Sedan,automatic,ca,28.0,13044.0,black,black,fratelli investment group,37800.0,35250.0,Thu,Dec,2014.0
719,Audi,A7,Premium quattro,Sedan,automatic,ca,33.0,36671.0,black,black,south bay hyundai,39300.0,40500.0,Tue,Dec,2014.0
726,Audi,A5,2.0T Premium quattro,Coupe,automatic,ca,38.0,32737.0,white,black,porsche of downtown la,25000.0,26500.0,Thu,Dec,2014.0
758,Audi,A5,2.0T Premium quattro,Coupe,automatic,ca,41.0,33856.0,white,black,aaero sweet company,24700.0,27000.0,Tue,Dec,2014.0
788,Audi,A4,2.0T Premium quattro,Sedan,automatic,ca,38.0,15193.0,black,black,high bid trading co inc,22900.0,24250.0,Thu,Dec,2014.0
796,Audi,A6,3.0T Premium quattro,Sedan,automatic,ca,36.0,13936.0,black,black,ars/executive car leasing co,33900.0,33100.0,Thu,Dec,2014.0
804,Audi,R8,4.2 quattro,Coupe,automatic,ca,39.0,11740.0,gray,black,the hertz corporation,91000.0,91000.0,Wed,Feb,2015.0
811,Audi,A6,3.0T Premium quattro,Sedan,automatic,ca,42.0,44002.0,black,black,trade in solutions irvine,28400.0,30000.0,Tue,Jan,2015.0
829,Audi,S5,Premium Plus quattro,Coupe,automatic,ca,37.0,22938.0,black,black,high bid trading co inc,35700.0,36500.0,Thu,Dec,2014.0
830,Audi,Q5,3.2 Premium Plus quattro,SUV,automatic,ca,41.0,38750.0,black,black,high bid trading co inc,31800.0,31250.0,Thu,Dec,2014.0
836,Audi,A6,3.0T Premium quattro,Sedan,automatic,ca,41.0,47513.0,white,brown,fratelli investment group,28500.0,28750.0,Thu,Dec,2014.0
841,Audi,A4,2.0T Premium quattro,Sedan,automatic,ca,38.0,39272.0,blue,black,california auto exchange,19500.0,20250.0,Wed,Dec,2014.0
844,Audi,A4,2.0T Premium quattro,Sedan,automatic,ca,38.0,48158.0,blue,gray,fratelli investment group,18650.0,19500.0,Thu,Dec,2014.0
1577,Audi,A4,2.0T Premium,Sedan,automatic,ca,26.0,34058.0,black,black,high bid trading co inc,17100.0,16000.0,Wed,Dec,2014.0
1593,Audi,A5,2.0T Premium quattro,Coupe,automatic,ca,26.0,77489.0,white,black,walters auto sales/service inc,18400.0,20250.0,Tue,Dec,2014.0
1616,Audi,Q5,3.2 Premium Plus quattro,SUV,automatic,ca,36.0,68316.0,gray,gray,high bid trading co inc,24000.0,25000.0,Thu,Dec,2014.0
1628,Audi,S4,Premium Plus quattro,Sedan,automatic,ca,39.0,34952.0,gray,black,walters auto sales/service inc,26100.0,29250.0,Tue,Dec,2014.0
1679,Audi,S5,3.0T Premium Plus quattro,Convertible,automatic,ca,26.0,35177.0,gray,black,fiserv/usb dealer services northstar exchange,31900.0,29750.0,Thu,Dec,2014.0
1684,Audi,Q5,2.0T Premium quattro,SUV,automatic,ca,48.0,39717.0,white,black,richard j bartlett jr enterprises,25500.0,28500.0,Thu,Dec,2014.0
1739,Audi,A4,2.0T Premium,Sedan,automatic,ca,1.0,42301.0,gray,black,vw credit,16650.0,14100.0,Tue,Dec,2014.0
2282,Audi,A4,2.0T Premium,Sedan,automatic,ca,27.0,38136.0,blue,black,high bid trading co inc,22600.0,22500.0,Thu,Dec,2014.0
2326,Audi,A4,2.0T Premium,Sedan,automatic,ca,24.0,47473.0,black,beige,audi north scottsdale,15250.0,15000.0,Thu,Dec,2014.0
2480,Audi,A3,2.0T quattro,Wagon,automatic,ca,28.0,78254.0,black,black,high bid trading co inc,11800.0,14250.0,Wed,Dec,2014.0
2550,Audi,A4,2.0T Premium quattro,Sedan,automatic,ca,29.0,59602.0,silver,black,first investors servicing corp,14350.0,16000.0,Tue,Dec,2014.0
2587,Audi,A4,2.0T Premium,Sedan,automatic,ca,1.0,91671.0,silver,black,vw credit,10050.0,7800.0,Tue,Dec,2014.0
2697,Audi,Q7,3.6 quattro,SUV,automatic,ca,25.0,101633.0,gray,black,santander consumer,12600.0,12300.0,Thu,Dec,2014.0
2705,Audi,TT,3.2 quattro,Hatchback,automatic,ca,38.0,60542.0,black,black,aaero sweet company,17250.0,18300.0,Wed,Dec,2014.0
2710,Audi,A8,L quattro,Sedan,automatic,ca,24.0,146426.0,black,brown,century dealer services corp,10650.0,8000.0,Wed,Jan,2015.0
2786,Audi,S6,quattro,Sedan,automatic,ca,29.0,131245.0,silver,black,bidlane llc,14750.0,17500.0,Tue,Dec,2014.0
2834,Audi,A4,2.0T,Sedan,automatic,ca,29.0,149684.0,white,black,veros credit,3900.0,4400.0,Wed,Dec,2014.0
2862,Audi,A4,2.0T quattro,Sedan,automatic,ca,3.0,107106.0,red,black,high bid trading co inc,6675.0,7100.0,Wed,Dec,2014.0
2894,Audi,A8,quattro,Sedan,automatic,ca,27.0,97059.0,silver,gray,lease remarketing services inc,12650.0,12500.0,Wed,Dec,2014.0
2972,Audi,A4,3.2 quattro,Convertible,automatic,ca,31.0,70984.0,black,black,myrddin fleet services,11050.0,8100.0,Wed,Dec,2014.0
3157,Audi,A6,3.2,Sedan,automatic,ca,3.0,114685.0,blue,brown,buena park honda,6175.0,2800.0,Tue,Dec,2014.0
