,Компания,Модель,Комплектация,Тип кузова,Трансмиссия,Штат продажи,Состояние,Пробег,Цвет,Интерьер,Продавец,Оценочная стоимость,Цена продажи,День продажи,Месяц продажи,Год продажи
924,Ford,F-150,FX2,SuperCrew,automatic,ca,46.0,28687.0,gray,black,ford motor credit company llc pd,26700.0,30500.0,Thu,Dec,2014.0
963,Ford,F-150,XLT,SuperCrew,automatic,ca,39.0,27465.0,black,gray,ford motor credit company llc pd,26300.0,28800.0,Thu,Dec,2014.0
964,Ford,F-150,XLT,SuperCrew,automatic,ca,35.0,93858.0,white,gray,aaero sweet company,18900.0,19500.0,Wed,Dec,2014.0
982,Ford,F-150,Lariat,SuperCab,automatic,ca,41.0,46444.0,red,black,ford motor credit company llc pd,26300.0,25600.0,Thu,Dec,2014.0
1761,Ford,F-150,FX2,SuperCrew,automatic,ca,35.0,62174.0,silver,black,ford motor credit company llc,19750.0,20900.0,Thu,Dec,2014.0
1770,Ford,F-150,FX4,SuperCab,automatic,ca,37.0,29711.0,black,black,ford motor credit company llc pd,26200.0,27100.0,Thu,Jan,2015.0
1789,Ford,F-150,STX,Regular Cab,automatic,ca,39.0,67718.0,red,gray,lease plan usa,11500.0,11800.0,Wed,Dec,2014.0
1809,Ford,F-150,XL,SuperCab,automatic,ca,36.0,91626.0,white,gray,enterprise fleet management exchange  inc.,14800.0,13300.0,Fri,Dec,2014.0
1823,Ford,F-150,Lariat,SuperCrew,automatic,ca,36.0,90598.0,white,black,remarketing by ge/xpress rent a car,23300.0,24250.0,Tue,Dec,2014.0
1835,Ford,F-150,FX2,SuperCrew,automatic,ca,39.0,181395.0,blue,gray,nvp remarketing,17000.0,12250.0,Tue,Jan,2015.0
1838,Ford,F-150,FX2,SuperCab,automatic,ca,21.0,48577.0,black,black,remarketing by ge/flagship credit acceptance,19100.0,14250.0,Tue,Jan,2015.0
1882,Ford,F-150,XLT,SuperCab,automatic,ca,45.0,28696.0,black,black,robinson ford sales inc,18900.0,22000.0,Tue,Dec,2014.0
1907,Ford,F-150,XLT,SuperCrew,automatic,ca,41.0,71995.0,gray,gray,fox rent a car,21000.0,21800.0,Thu,Dec,2014.0
2391,Ford,F-150,XL,Regular Cab,automatic,ca,2.0,140738.0,white,tan,enterprise fm exchange/tra/lease,4850.0,4100.0,Tue,Dec,2014.0
2436,Ford,F-150,XL,SuperCab,automatic,ca,1.0,87443.0,silver,beige,wells fargo dealer services,10500.0,8600.0,Tue,Dec,2014.0
2443,Ford,F-150,XLT,SuperCab,automatic,ca,47.0,61616.0,white,black,motor city buick gmc,19850.0,34250.0,Tue,Dec,2014.0
2450,Ford,F-150,XLT,SuperCrew,automatic,ca,2.0,90017.0,white,gray,enterprise veh exchange/rental,17800.0,15000.0,Wed,Dec,2014.0
2479,Ford,F-150,XLT,SuperCrew,automatic,ca,19.0,19591.0,blue,beige,us bank,20200.0,11000.0,Tue,Jan,2015.0
2486,Ford,F-150,Harley-Davidson,SuperCrew,automatic,ca,49.0,22200.0,black,black,richard j bartlett jr enterprises,30100.0,34250.0,Tue,Dec,2014.0
2534,Ford,F-150,XLT,SuperCab,automatic,ca,1.0,141217.0,silver,beige,tradewinds remarketing,9750.0,9350.0,Wed,Dec,2014.0
2545,Ford,F-150,Lariat,SuperCrew,automatic,ca,45.0,105312.0,white,beige,hoehn motors inc,16850.0,17300.0,Tue,Dec,2014.0
2621,Ford,F-150,XLT,SuperCrew,automatic,ca,19.0,87659.0,black,gray,jpmorgan chase bank n.a.,13250.0,15000.0,Thu,Dec,2014.0
2805,Ford,F-150,STX,SuperCab,automatic,ca,2.0,64783.0,black,black,remarketing by ge/golden 1 credit union,9525.0,10600.0,Wed,Dec,2014.0
2820,Ford,F-150,Lariat,SuperCrew,automatic,ca,31.0,132553.0,white,beige,premium auto wholesale,12850.0,11100.0,Tue,Dec,2014.0
2979,Ford,F-150,King Ranch,SuperCrew,automatic,ca,19.0,123424.0,brown,brown,the car exchange,12800.0,11400.0,Wed,Dec,2014.0
3024,Ford,F-150,Lariat,SuperCab,automatic,ca,28.0,102716.0,white,black,american road leasing inc,10050.0,12250.0,Wed,Dec,2014.0
